City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Puerto Ayora,EC,-0.7393,-90.3518,76.96,80,70,5.01,broken clouds
130,Yumen,CN,40.2833,97.2,66.16,38,100,11.36,overcast clouds
131,Burns Lake,CA,54.2331,-125.7533,59.23,38,100,4.03,overcast clouds
132,Lebu,CL,-37.6167,-73.65,48.99,57,11,8.95,few clouds
133,Port Blair,IN,11.6667,92.75,81.36,80,100,17.76,overcast clouds
134,Mingshui,CN,36.7167,117.5,60.78,78,81,2.98,broken clouds
135,Tuktoyaktuk,CA,69.4541,-133.0374,44.53,78,93,7.49,overcast clouds
136,De-Kastri,RU,51.4667,140.7833,57.2,97,94,9.28,overcast clouds
137,Noumea,NC,-22.2763,166.4572,73.0,99,0,6.42,clear sky
138,Jamestown,US,42.097,-79.2353,77.52,51,100,9.22,overcast clouds
139,Portland,US,45.5234,-122.6762,80.47,48,20,6.91,few clouds
140,Avarua,CK,-21.2078,-159.775,78.85,78,20,6.91,few clouds
141,Nikolskoye,RU,59.7035,30.7861,47.79,83,100,1.05,overcast clouds
142,Alugan,PH,12.2188,125.4808,78.39,88,100,5.61,heavy intensity rain
143,Marsh Harbour,BS,26.5412,-77.0636,84.7,66,100,10.36,overcast clouds
144,Kuching,MY,1.55,110.3333,73.62,100,40,2.3,scattered clouds
145,Cape Town,ZA,-33.9258,18.4232,57.09,65,11,11.01,few clouds
146,Les Cayes,HT,18.2,-73.75,91.4,52,21,4.07,few clouds
147,Sassandra,CI,4.95,-6.0833,74.93,88,2,9.53,clear sky
148,Kavaratti,IN,10.5669,72.642,80.67,80,97,10.27,overcast clouds
149,Slave Lake,CA,55.2834,-114.769,57.18,77,75,11.5,broken clouds
150,Tacuarembo,UY,-31.7333,-55.9833,64.98,69,100,6.71,overcast clouds
151,Hailey,US,43.5196,-114.3153,76.87,45,100,17.27,overcast clouds
152,Port-Gentil,GA,-0.7193,8.7815,76.96,88,75,11.5,light rain
153,Esfarayen,IR,37.0765,57.5101,66.83,33,0,4.29,clear sky
154,Sisophon,KH,13.5859,102.9737,75.63,90,100,8.08,overcast clouds
155,Darab,IR,28.7519,54.5444,81.41,24,47,3.67,scattered clouds
156,Flinders,AU,-34.5833,150.8552,57.25,69,46,4.0,scattered clouds
157,Dunedin,NZ,-45.8742,170.5036,48.79,87,100,1.01,overcast clouds
158,Luderitz,NA,-26.6481,15.1594,53.69,69,0,20.31,clear sky
159,Gravdal,NO,68.1214,13.5031,48.09,93,75,20.71,light intensity shower rain
160,La Palma,US,33.8464,-118.0467,83.97,62,20,13.8,few clouds
161,Mar Del Plata,AR,-38.0023,-57.5575,60.1,97,100,11.99,fog
162,Mombetsu,JP,44.3525,143.3525,65.08,93,100,4.5,overcast clouds
163,Ola,RU,59.5833,151.2833,43.65,82,100,5.14,overcast clouds
164,Almeirim,BR,-1.5233,-52.5817,95.38,34,52,5.99,broken clouds
165,Batticaloa,LK,7.7102,81.6924,79.83,75,100,3.8,overcast clouds
166,Tazovskiy,RU,67.4667,78.7,44.82,87,100,6.67,light rain
167,Provideniya,RU,64.3833,-173.3,42.04,78,100,3.0,overcast clouds
168,Monrovia,LR,6.3005,-10.7969,76.77,81,17,8.84,few clouds
169,Labuhan,ID,-6.8844,112.2051,76.77,81,14,9.24,few clouds
170,Panguna,PG,-6.3164,155.4848,68.02,97,100,3.71,light rain
171,Itarema,BR,-2.9248,-39.9167,80.28,76,38,18.3,scattered clouds
172,Lata,PT,40.1629,-8.3327,76.91,57,33,1.34,scattered clouds
173,Fort Nelson,CA,58.8053,-122.7002,59.86,34,77,10.65,broken clouds
174,Marsa Matruh,EG,31.3525,27.2453,76.78,76,10,9.35,clear sky
175,Makakilo City,US,21.3469,-158.0858,80.98,69,100,10.36,overcast clouds
176,Tonstad,NO,58.6626,6.7169,49.17,76,19,3.94,few clouds
177,Namatanai,PG,-3.6667,152.4333,78.24,84,90,4.59,moderate rain
178,Barranca,PE,-10.75,-77.7667,65.28,74,26,12.08,scattered clouds
179,Boguchany,RU,58.3814,97.4531,47.89,86,100,2.46,overcast clouds
180,Sao Jose Do Egito,BR,-7.4789,-37.2744,88.07,24,54,5.64,broken clouds
181,Palauig,PH,15.435,119.9045,79.05,83,65,8.5,broken clouds
182,Bilma,NE,18.6853,12.9164,87.17,45,47,23.2,scattered clouds
183,Yellowknife,CA,62.456,-114.3525,50.52,81,75,10.36,broken clouds
184,Camacha,PT,33.0833,-16.3333,69.22,83,40,9.22,scattered clouds
185,Klaksvik,FO,62.2266,-6.589,43.72,69,100,7.14,overcast clouds
186,Cururupu,BR,-1.8283,-44.8683,81.72,69,100,4.88,overcast clouds
187,Bilibino,RU,68.0546,166.4372,27.07,91,98,2.19,overcast clouds
188,Berdigestyakh,RU,62.0989,126.6992,31.5,91,100,7.2,overcast clouds
189,Aleksandrov Gay,RU,50.147,48.5704,72.37,58,23,13.22,few clouds
190,Ried,DE,48.477,11.2606,52.29,71,100,14.56,light rain
191,Glazov,RU,58.1394,52.6584,53.2,82,100,3.29,overcast clouds
192,Samandag,TR,36.0842,35.9771,77.52,77,0,5.77,clear sky
193,Ginowan,JP,26.2627,127.7615,79.79,83,75,18.41,mist
194,Conde,BR,-7.2597,-34.9075,76.46,83,20,18.41,few clouds
195,Antofagasta,CL,-23.65,-70.4,60.08,63,0,11.27,clear sky
196,Huilong,CN,31.8111,121.655,74.93,74,2,20.24,clear sky
197,Hasaki,JP,35.7333,140.8333,79.29,90,69,20.42,broken clouds
198,Maura,NO,60.25,11.0167,51.24,65,0,17.27,clear sky
199,Ancud,CL,-41.8697,-73.8203,42.22,68,96,8.57,overcast clouds
200,Norman Wells,CA,65.282,-126.8329,54.3,53,100,12.73,overcast clouds
201,The Valley,AI,18.217,-63.0578,84.06,89,20,14.97,few clouds
202,Nanortalik,GL,60.1432,-45.2371,45.79,85,100,7.94,light rain
203,Harper,LR,4.375,-7.7169,76.33,82,3,7.76,clear sky
204,Severo-Yeniseyskiy,RU,60.3725,93.0408,41.67,97,97,4.23,overcast clouds
205,Sakakah,SA,29.9697,40.2064,88.2,14,0,10.27,clear sky
206,Cairns,AU,-16.9167,145.7667,76.95,97,75,3.44,broken clouds
207,Along,IN,28.1667,94.7667,73.85,98,59,2.35,broken clouds
208,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.48,76,14,10.4,few clouds
209,San Patricio,US,28.017,-97.5169,94.17,52,55,12.86,broken clouds
210,Lagoa,PT,39.05,-27.9833,73.53,88,100,10.67,overcast clouds
211,San Policarpo,PH,12.1791,125.5072,78.84,87,100,5.79,heavy intensity rain
212,San Juan,AR,-31.5375,-68.5364,65.68,36,11,22.93,few clouds
213,Springdale,US,36.1867,-94.1288,93.54,55,40,12.66,scattered clouds
214,Khatanga,RU,71.9667,102.5,24.89,82,11,9.73,few clouds
215,Sambava,MG,-14.2667,50.1667,68.95,87,7,10.09,light rain
216,Mundo Nuevo,MX,18.7,-95.5,82.33,77,93,8.21,overcast clouds
217,Edgewater,US,28.9889,-80.9023,90.28,69,75,11.5,broken clouds
218,Poum,NC,-20.2333,164.0167,74.3,79,2,8.14,clear sky
219,Sayat,TM,38.7839,63.8803,67.87,22,0,10.33,clear sky
220,Phuket,TH,8.0,98.25,87.1,78,20,11.5,few clouds
221,San Vicente,AR,-26.6167,-54.1333,78.12,33,0,4.9,clear sky
222,Lomonosov,RU,59.9061,29.7725,48.11,86,61,1.59,broken clouds
223,Ploemeur,FR,47.7333,-3.4333,61.83,74,0,8.05,clear sky
224,Kununurra,AU,-15.7667,128.7333,67.98,88,13,3.44,few clouds
225,Muros,ES,42.7762,-9.0603,70.84,80,100,5.5,overcast clouds
226,Mindif,CM,10.3976,14.4363,73.27,90,100,4.03,overcast clouds
227,Muisne,EC,0.6,-80.0333,74.8,80,95,10.6,overcast clouds
228,Kovdor,RU,67.5662,30.4758,45.63,98,100,8.5,overcast clouds
229,Roura,GF,4.7263,-52.3274,87.71,62,0,13.8,clear sky
230,Melbourne,US,28.0836,-80.6081,87.08,76,20,9.22,few clouds
231,Saldanha,ZA,-33.0117,17.9442,56.71,67,64,26.37,broken clouds
232,Grand Gaube,MU,-20.0064,57.6608,72.0,73,3,5.99,clear sky
233,Bandarbeyla,SO,9.4942,50.8122,77.47,82,9,16.69,clear sky
